ActionGeo_CountryCode,Country_Code
AE,ARE
AF,AFG
AG,DZA
AJ,AZE
AL,ALB
AM,ARM
AN,FRA
AO,AGO
AR,ARG
AS,AUS
AU,AUT
BC,BWA
BE,BEL
BG,BGD
BH,BLZ
BK,BIH
BL,BOL
BM,MMR
BN,BEN
BO,BLR
BR,BRA
BT,BTN
BU,BGR
BX,IDN
BY,BDI
CA,CAN
CB,KHM
CD,TCD
CE,LKA
CF,COG
CG,COD
CH,CHN
CI,CHL
CM,CMR
CO,COL
CS,CRI
CT,CAF
CU,CUB
CY,CYP
DA,DNK
DJ,DJI
DR,DOM
EC,ECU
EG,EGY
EI,IRL
EN,EST
ER,ERI
ES,SLV
ET,ETH
EZ,CZE
FG,GUF
FI,FIN
FR,FRA
GA,GMB
GB,GAB
GG,GEO
GH,GHA
GI,ESP
GL,GRL
GM,DEU
GR,GRC
GT,GTM
GV,GIN
GY,GUY
HA,HTI
HK,CHN
HO,HND
HR,HRV
HU,HUN
IC,ISL
ID,IDN
IN,IND
IR,IRN
IS,ISR
IT,ITA
IV,CIV
IZ,IRQ
JA,JPN
JM,JAM
JO,JOR
KE,KEN
KG,KGZ
KN,PRK
KS,KOR
KU,KWT
KV,CS-KM
KZ,KAZ
LA,LAO
LE,LBN
LG,LVA
LH,LTU
LI,LBR
LO,SVK
LS,AUT
LT,LSO
LU,LUX
LY,LBY
MA,MDG
MD,MDA
MG,MNG
MI,MWI
MJ,MNE
MK,MKD
ML,MLI
MN,FRA
MO,MAR
MR,MRT
MU,OMN
MX,MEX
MY,MYS
MZ,MOZ
NG,NER
NI,NGA
NL,NLD
NO,NOR
NP,NPL
NS,SUR
NU,NIC
NZ,NZL
OD,SSD
PA,PRY
PE,PER
PK,PAK
PL,POL
PM,PAN
PO,PRT
PU,GNB
QA,QAT
RB,SRB
RI,SRB
RO,ROU
RP,PHL
RQ,PRI
RS,RUS
RW,RWA
SA,SAU
SF,ZAF
SG,SEN
SI,SVN
SL,SLE
SM,ITA
SN,MYS
SO,SOM
SP,ESP
SU,SDN
SW,SWE
SY,SYR
SZ,CHE
TH,THA
TI,TJK
TO,TGO
TS,TUN
TT,IDN
TU,TUR
TW,TWN
TX,TKM
TZ,TZA
UG,UGA
UK,GBR
UP,UKR
US,USA
UV,BFA
UY,URY
UZ,UZB
VE,VEN
VM,VNM
VT,ITA
WA,NAM
WE,PSE
WI,MAR
WZ,SWZ
YM,YEM
ZA,ZMB
ZI,ZWE
